cache_key,model,source,window_text,embedding_json,created_at,embedding_success,embedding_error
3e6644c32fb464b6d1a3615c71b57762e0095707f7bdd2bc6b080093d2654338,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,have a look at that ficture then tell me everything that you see goingon in,"[0.0,0.24253562503633297,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.24253562503633297,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.48507125007266594,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0]",2026-06-12T14:37:11.510869+00:00,1,
b9b63ac4dcedcc8c86c0db5ef29a72b0eb840c4844e53993d8dda652d74282a3,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,ficture then tell me everything that you see goingon in that picture all the action,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.24253562503633297,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.48507125007266594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2026-06-12T14:37:11.510931+00:00,1,
d98533f62da148931f948ef3911c25a0b926e57a65c9bad60bca7917454a106d,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,that you see goingon in that picture all the action what's happening therewhy derr e,"[0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.22360679774997896,0.0,0.0,0.0,0.22360679774997896,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.22360679774997896,0.22360679774997896,0.0,0.0,0.0,0.22360679774997896,0.0,0.22360679774997896,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.22360679774997896,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.22360679774997896,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2026-06-12T14:37:11.510951+00:00,1,
a699f68fcbdd52f0644db8de1b4dd527c5f022565a6e811c25aa79433a8a75aa,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,that picture all the action what's happening therewhy derr e coor yo are ani o,"[0.0,0.0,0.0,0.47140452079103173,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.23570226039551587,0.0,0.0,0.0,0.23570226039551587,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.23570226039551587,0.23570226039551587,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.23570226039551587,0.23570226039551587,0.0,0.23570226039551587,0.23570226039551587,0.0,0.0,0.23570226039551587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2026-06-12T14:37:11.510967+00:00,1,
0cef4005f5e1ce8918b36a51d99b0dd5c136c141e2766193c090cee974a4bd55,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,what's happening therewhy derr e coor yo are ani o a creyar in of anmon,"[0.0,0.0,0.0,0.42640143271122083,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,0.0,0.42640143271122083,0.0,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21320071635561041,0.0,0.0,0.21320071635561041,0.0,0.0,0.0,0.0,0.42640143271122083,0.21320071635561041,0.0,0.0,0.21320071635561041,0.0,0.21320071635561041,0.21320071635561041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2026-06-12T14:37:11.510983+00:00,1,
85fefedd9de5404df0002d199e6613a3b38d09d9d9bdb02274f8e5a018475b8e,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,coor yo are ani o a creyar in of anmon a o sperniheraul drecteeni boywill,"[0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.4364357804719848,0.2182178902359924,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.2182178902359924,0.0,0.0,0.2182178902359924,0.0,0.4364357804719848,0.4364357804719848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",2026-06-12T14:37:11.510996+00:00,1,
d8558ed07a421f1cbe2a6dd85344fb526c717d5eb886f3400f9e3f4c06c956b9,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,a creyar in of anmon a o sperniheraul drecteeni boywill be thereen boi unh grandinano,"[0.0,0.0,0.2182178902359924,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.4364357804719848,0.4364357804719848,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.4364357804719848,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0]",2026-06-12T14:37:11.511015+00:00,1,
5c8f10ea02e37206bf06bed865128815c1a857200f04837fa7bd943ebf489aee,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,a o sperniheraul drecteeni boywill be thereen boi unh grandinano un oh how heoo no,"[0.0,0.0,0.24253562503633297,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.24253562503633297,0.24253562503633297,0.0,0.0,0.48507125007266594,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.24253562503633297,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0]",2026-06-12T14:37:11.511028+00:00,1,
8451ca80cbc9828327728284a13f2c333d8374c9b683bb546b52a8c412e4c671,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,be thereen boi unh grandinano un oh how heoo no nai no mor more wawhat,"[0.0,0.0,0.24253562503633297,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.24253562503633297,0.0,0.24253562503633297,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48507125007266594,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24253562503633297,0.24253562503633297,0.0]",2026-06-12T14:37:11.511042+00:00,1,
4223c02a077040764fcf57df9a57c586aa4a661833b4319d7e8dc253ae013b11,local_hashing_surrogate_for_bge-m3,local_surrogate_no_api_key,un oh how heoo no nai no mor more wawhat happening hereon bon bonongood anything,"[0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.4364357804719848,0.0,0.0,0.2182178902359924,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.4364357804719848,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4364357804719848,0.0,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.2182178902359924,0.0,0.0]",2026-06-12T14:37:11.511054+00:00,1,
